,Vmag,Plx,e_Plx,B-V,SpType,Class,Abs_Vmag,L,T,R
0,5.99,13.73,0.58,1.318,K5III,Giant,1.678352686183775,18.227235648163067,4250.0,5491496644.356267
1,8.7,2.31,1.29,-0.045,B1II,Giant,0.518059899460722,53.071419694494764,23500.0,306480471.1905978
2,5.77,5.5,1.03,0.855,G5III,Giant,-0.5281865525287817,139.1168800808524,5500.0,9058842609.393303
3,6.72,5.26,0.74,-0.015,B7V,Dwarf,0.32492872076869617,63.40404551489344,14500.0,879894612.4677973
4,8.76,13.44,1.16,0.584,G0V,Dwarf,4.4019963435890315,1.4832346634092648,6000.0,785978399.7887099
5,4.9,8.37,0.76,-0.091,B9III,Giant,-0.48637271003370053,133.86081700288568,11500.0,2032540619.0488477
6,8.6,5.09,1.37,0.448,F3V,Dwarf,2.133588911683793,11.984429902362855,7050.0,1618223986.3623042
7,6.24,8.08,1.15,0.68,G0III,Giant,0.7770568038729291,41.80775604906979,6000.0,4172862810.7782717
8,7.31,1.86,0.87,1.164,K0/K1III,Giant,-1.3424352789104184,294.5067870297988,5000.0,15948352410.25357
9,9.52,1.28,1.33,1.5,K2III,Giant,0.05604984823934167,81.22202211141527,4700.0,9478712730.432686
10,6.18,5.93,0.7,1.467,K4III,Giant,0.04527346682131217,82.03223829705888,4400.0,10869138089.022575
11,7.57,8.67,0.84,0.528,F8V,Dwarf,2.2600954873810526,10.666262443291291,6300.0,1911759303.0106742
12,7.58,3.47,1.03,1.626,M1III,Giant,0.28164737395436745,65.9827417498069,3400.0,16325463610.57215
13,8.27,1.62,0.92,0.146,B7V,Dwarf,-0.6824249272868457,160.35341290694683,14500.0,1399301429.7989862
14,9.03,0.24,1.28,1.106,K0IVCN...,Dwarf,-4.068943791441972,3628.7098860928486,5000.0,55981469419.57356
15,9.79,3.91,2.45,0.711,F8IV/V,Dwarf,2.7508837869793332,6.787147832867063,6300.0,1525003126.2369254
16,8.69,1.97,0.85,1.444,K4III,Giant,0.16233113080796358,73.64770155695497,4400.0,10298700402.464195
17,9.1,7.46,1.0,0.417,F3V,Dwarf,3.4636941373633423,3.5200527571460793,7050.0,877009970.5294875
18,9.26,16.85,1.07,0.831,G6IV/V,Dwarf,5.392999526036787,0.5953729992180737,5400.0,614773623.918474
19,9.72,14.49,1.48,0.845,K0V,Dwarf,5.525341927355873,0.5270472795371348,5000.0,674672421.3313949
20,7.6,5.91,1.04,1.064,G8IV,Dwarf,1.4579374044062767,22.33012987053306,5200.0,4060197090.70087
21,4.83,35.33,0.82,0.421,F5IV,Dwarf,2.5707181871742275,8.012297865602395,6750.0,1443374990.5191598
22,8.44,0.55,0.8,1.404,K3III,Giant,-2.8581865525287835,1189.6674496145715,4550.0,38707772039.40013
23,5.96,22.42,0.67,0.419,F5V,Dwarf,2.713178041294773,7.027006373117561,6750.0,1351717095.7592483
24,8.01,10.62,1.46,0.406,F3/F5V,Dwarf,3.140622583727252,4.7400632580228175,7050.0,1017705246.2051092
25,9.26,4.77,1.17,0.448,F3/F5V,Dwarf,2.652591895200569,7.430293954056664,7050.0,1274186332.2483633
26,6.77,2.53,0.76,-0.073,B8III,Giant,-1.21439739412091,261.7445452658908,13000.0,2224130643.6694226
27,7.58,5.31,0.82,1.037,K0III,Giant,1.205472605407346,28.176180817502974,5000.0,4932978613.906156
28,7.97,3.15,1.07,1.086,K0III,Giant,0.46155276894800146,55.9068041702706,5000.0,6948651061.894962
29,9.17,1.78,1.37,1.029,K1III,Giant,0.42210001154447063,57.975772588996065,4850.0,7520521785.81753
30,7.27,3.9,0.94,1.129,K2III,Giant,0.22532303513249552,69.49622252068824,4700.0,8767849007.711296
31,8.26,4.76,1.11,1.038,K0III,Giant,1.6480347636024657,18.743408595377037,5000.0,4023393001.5111065
32,7.66,4.79,1.02,1.034,K0III,Giant,1.0616775670728167,32.16643749119937,5000.0,5270716438.308458
33,8.97,0.13,0.88,1.724,M1III:,Giant,-5.460283238465815,13071.196568966046,3400.0,229777773709.52475
35,9.27,5.71,1.0,1.03,K1IV,Dwarf,3.0531805412292403,5.1376281933760755,4850.0,2238752258.7249193
36,8.76,4.56,1.32,0.508,F5V,Dwarf,2.054824213322174,12.886198157614725,6750.0,1830471770.3220978
37,8.85,2.06,0.78,-0.126,B5V,Dwarf,0.41933610184576686,58.123554173590875,17500.0,578373202.237235
38,5.97,3.63,0.84,1.491,K4III,Giant,-1.230466874819438,265.6475088424114,4400.0,19559407700.711216
39,9.41,4.88,1.29,0.947,K0IV,Dwarf,2.852099110013553,6.182999227059072,5000.0,2310828770.1165447
40,9.08,2.81,1.3,1.032,K0III,Giant,1.3235315995253991,25.272965814972633,5000.0,4671929437.483638
41,7.88,5.78,1.04,0.383,F0V,Dwarf,1.6896391921026446,18.03873108676886,7500.0,1754238523.0796342
43,5.54,29.58,1.42,0.347,F0V,Dwarf,2.894990848304367,5.943491619973507,7500.0,1006946690.9727657
44,6.24,2.43,0.9,1.424,K4III,Giant,-1.8319686320084383,462.2940043835332,4400.0,25802510058.175255
45,8.26,2.64,0.96,1.392,K2III,Giant,0.36801963434915486,60.93681590301953,4700.0,8210173623.341571
46,7.92,6.42,0.66,0.621,F8V,Dwarf,1.957675140344266,14.092444792884649,6300.0,2197456317.6209235
48,8.74,1.81,1.25,0.98,G8III,Giant,0.028392874345923858,83.31767265541754,5200.0,7842780426.609161
49,9.2,0.5,1.13,0.931,G8/K0III,Giant,-2.305149978319907,714.8255884655392,5200.0,22972144342.73975
50,7.73,8.67,0.92,0.461,F5III,Giant,2.4200954873810527,9.204689088058949,6750.0,1547053008.4062943
